minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
8,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3095.81,1
8,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,868.776,1
8,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,17434,1
8,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,12607.6,1
8,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,2552.36,1
8,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,505.259,1
8,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,1,0
8,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,759.125,1
8,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,42900.1,1
8,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,707.055,1
8,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,8,0
9,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.41,1
9,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2414.4,1
9,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,838.767,1
9,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,744.821,1
9,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3019.2,1
9,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,864.065,1
9,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,30793.8,1
9,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,37033,1
9,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,503.264,1
9,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,160906,1
9,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,3040.23,1
9,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,820.004,1
9,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,7307.4,1
9,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,761.644,1
9,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,10168,1
10,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1511.28,1
10,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2277.46,1
10,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,871.371,1
10,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,747.686,1
10,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3107.43,1
10,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,911.496,1
10,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,2645.46,1
10,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,3,0
10,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,501.019,1
10,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,76312.1,1
10,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,2621.76,1
10,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,809.484,1
10,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,10010.5,1
10,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,747.283,1
10,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,10153.9,1
11,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1647.04,1
11,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2355.69,1
11,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,828.334,1
11,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,751.144,1
11,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3055.39,1
11,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,896.274,1
11,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,23439.5,1
11,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,4918.97,1
11,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,504.937,1
11,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,35026.9,1
11,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,29444.6,1
11,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,832.707,1
11,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,14922.2,1
11,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,741.854,1
11,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,10141.5,1
12,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.37,1
12,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2277.82,1
12,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,848.395,1
12,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,744.76,1
