minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
9,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3916.91,1
10,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
10,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
10,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
10,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
10,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
10,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
10,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1867.28,1
10,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2517.05,1
10,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
10,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4584.33,1
10,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2528.25,1
10,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,674.278,1
10,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4711.78,1
10,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,683.014,1
10,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3883.74,1
11,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
11,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
11,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
11,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
11,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
11,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
11,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1867.08,1
11,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2495.44,1
11,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
11,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4583.38,1
11,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2527.69,1
11,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,672.27,1
11,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4711.74,1
11,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,682.418,1
11,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3865.83,1
12,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
12,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
12,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
12,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
12,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
12,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
12,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1865.78,1
12,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2491.59,1
12,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
12,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4582.24,1
12,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2527.69,1
12,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,671.081,1
12,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4711.74,1
12,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,681.459,1
12,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3831.48,1
13,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
13,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
13,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
13,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
13,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
13,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
13,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1864.34,1
13,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2490.31,1
13,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
13,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4581.72,1
13,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2526.9,1
13,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,670.637,1
13,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4711.74,1
13,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,680.482,1
13,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3817.43,1
